               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.020631,            0.039005,                   0,             0.85198,             0.84434,             0.84631,             0.46936,            0.034323,            0.050691,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021164,            0.039043,                   0,             0.82064,             0.86321,             0.85339,             0.45773,            0.034564,             0.05075,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020446,            0.039148,                   0,             0.85866,             0.84434,             0.84771,             0.44889,            0.035991,            0.052561,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020429,            0.038255,                   0,              0.8191,             0.83491,             0.83857,             0.47098,            0.034046,            0.052548,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020167,              0.0384,                   0,              0.8031,             0.86576,             0.82282,             0.45053,            0.035233,            0.052883,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.02013,            0.037385,                   0,             0.85038,             0.83962,              0.8441,             0.46698,            0.036223,            0.051343,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.01992,              0.0381,                   0,             0.86353,             0.83019,             0.82759,               0.464,            0.035694,             0.05278,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019437,            0.037955,                   0,             0.83015,             0.85849,             0.81994,             0.45885,            0.034741,             0.05356,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01945,            0.036928,                   0,             0.83774,             0.87264,             0.81975,             0.45268,            0.034848,             0.05162,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019281,            0.037413,                   0,             0.83319,             0.84818,             0.82429,             0.45321,            0.035595,            0.052206,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019482,            0.036607,                   0,             0.84629,             0.81604,             0.84583,             0.46861,            0.035181,            0.054141,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019252,            0.036735,                   0,             0.84768,             0.82547,             0.85138,             0.46926,            0.035972,            0.054012,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01889,            0.036541,                   0,             0.80094,             0.87306,             0.82796,             0.45371,            0.035646,            0.053973,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019077,            0.037289,                   0,             0.83162,             0.83872,             0.83014,             0.45711,            0.035435,            0.054134,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018727,            0.036346,                   0,             0.79521,             0.87736,             0.83836,             0.45707,             0.03501,            0.054192,                   0,            0.001981,            0.001981,            0.001981
