                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0836,                0.63311,                 1.0712,                0.81141,                0.79245,                0.86794,                0.48705,                 1.4343,                0.92981,                 1.2539,               0.003268,               0.003268,               0.003268
                     70,                 1.0824,                0.63404,                 1.0684,                0.82299,                0.83491,                0.89242,                0.50623,                 1.4315,                0.85954,                 1.2652,               0.003169,               0.003169,               0.003169
                     71,                 1.0795,                0.62877,                 1.0809,                0.83279,                0.86321,                0.89673,                0.50449,                 1.4517,                0.88245,                 1.2628,                0.00307,                0.00307,                0.00307
                     72,                 1.0875,                0.62588,                 1.0746,                0.85414,                0.82869,                0.89114,                0.49195,                 1.4768,                0.89067,                  1.284,               0.002971,               0.002971,               0.002971
                     73,                 1.0583,                0.61217,                 1.0597,                0.82483,                0.84434,                0.89135,                0.48211,                 1.4825,                0.91095,                 1.2772,               0.002872,               0.002872,               0.002872
                     74,                 1.0665,                0.61973,                 1.0611,                0.77937,                0.81646,                0.86169,                0.47416,                 1.4777,                0.97758,                 1.2736,               0.002773,               0.002773,               0.002773
                     75,                 1.0654,                0.61636,                 1.0548,                0.74756,                0.83962,                 0.8561,                0.46542,                 1.5032,                0.97168,                 1.3007,               0.002674,               0.002674,               0.002674
                     76,                 1.0573,                0.60737,                 1.0515,                0.88255,                0.78302,                 0.8954,                0.48993,                 1.4434,                0.87931,                 1.2717,               0.002575,               0.002575,               0.002575
                     77,                 1.0464,                0.60096,                 1.0537,                0.75005,                0.88679,                0.88505,                0.50173,                 1.4365,                 0.9059,                 1.2775,               0.002476,               0.002476,               0.002476
                     78,                 1.0456,                0.59516,                 1.0491,                0.75662,                0.87984,                0.87567,                0.48898,                 1.4601,                0.90446,                 1.2959,               0.002377,               0.002377,               0.002377
