                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.79544,                0.40921,                 1.0185,                0.80364,                0.83011,                0.86011,                0.49834,                 1.4961,                0.98066,                 1.5538,               0.004357,               0.004357,               0.004357
                     59,                0.77938,                0.39459,                 1.0145,                0.82575,                0.80474,                0.85629,                0.49078,                 1.4613,                0.90547,                 1.5287,               0.004258,               0.004258,               0.004258
                     60,                0.78071,                0.39733,                 1.0232,                  0.826,                0.82849,                0.82836,                0.47905,                 1.4777,                0.93348,                 1.5604,               0.004159,               0.004159,               0.004159
                     61,                0.76048,                0.39288,                 1.0096,                0.80922,                0.82032,                0.84004,                0.49337,                 1.5235,                0.96023,                 1.6116,                0.00406,                0.00406,                0.00406
                     62,                 0.7557,                0.39197,                 1.0054,                0.81439,                0.77358,                0.84224,                0.47718,                 1.5618,                0.94826,                 1.6502,               0.003961,               0.003961,               0.003961
                     63,                 0.7326,                0.37471,                0.99788,                0.76945,                0.84434,                0.83544,                0.48333,                  1.557,                 1.0011,                 1.6356,               0.003862,               0.003862,               0.003862
                     64,                0.73673,                0.37307,                0.99987,                0.81104,                0.78957,                0.83921,                0.47447,                 1.5658,                 1.0237,                 1.6626,               0.003763,               0.003763,               0.003763
                     65,                0.73473,                0.37578,                 1.0012,                0.80393,                0.79717,                0.83629,                0.47359,                 1.5911,                   1.04,                 1.6665,               0.003664,               0.003664,               0.003664
                     66,                0.72542,                0.36517,                0.99519,                0.80986,                0.87736,                0.87295,                0.49804,                 1.5359,                0.90728,                 1.6381,               0.003565,               0.003565,               0.003565
                     67,                0.71604,                0.37072,                0.99544,                0.83003,                 0.7783,                0.82677,                0.46718,                 1.5443,                0.95899,                 1.6182,               0.003466,               0.003466,               0.003466
                     68,                0.71186,                0.36094,                0.97397,                0.82773,                0.80189,                0.83964,                0.48015,                  1.497,                0.97115,                  1.601,               0.003367,               0.003367,               0.003367
                     69,                 0.6944,                  0.361,                0.98107,                0.80801,                0.81604,                0.85153,                0.50371,                 1.5064,                 1.0004,                 1.6028,               0.003268,               0.003268,               0.003268
                     70,                0.68322,                0.35274,                0.96966,                0.79459,                0.83937,                 0.8545,                0.49762,                 1.4832,                0.93796,                 1.6081,               0.003169,               0.003169,               0.003169
                     71,                0.67313,                0.34439,                0.97466,                0.79667,                0.85015,                0.85179,                 0.5048,                  1.485,                0.93406,                 1.6079,                0.00307,                0.00307,                0.00307
                     72,                0.67335,                0.34364,                0.97658,                0.74754,                0.86599,                0.83778,                0.47925,                 1.5141,                 1.0114,                 1.6174,               0.002971,               0.002971,               0.002971
                     73,                0.65804,                0.34378,                0.96568,                0.77212,                0.81604,                 0.8329,                0.49135,                 1.5061,                 1.0232,                 1.6313,               0.002872,               0.002872,               0.002872
                     74,                0.66217,                0.34154,                 0.9673,                0.82497,                   0.75,                0.82495,                0.49174,                 1.5227,                 1.0756,                 1.6469,               0.002773,               0.002773,               0.002773
                     75,                0.63121,                0.32447,                0.94886,                0.79783,                0.79245,                0.82612,                0.48427,                 1.4925,                 1.0524,                  1.608,               0.002674,               0.002674,               0.002674
                     76,                0.62961,                0.32687,                0.94691,                0.80814,                0.83446,                0.84298,                0.50246,                 1.4919,                0.98078,                 1.6393,               0.002575,               0.002575,               0.002575
                     77,                0.61932,                0.32476,                0.95128,                 0.8267,                0.80189,                0.84078,                0.49585,                 1.5208,                 1.0057,                 1.6407,               0.002476,               0.002476,               0.002476
                     78,                0.62272,                0.32218,                0.94926,                0.84052,                0.82041,                0.85634,                0.50865,                 1.5164,                0.97938,                  1.635,               0.002377,               0.002377,               0.002377
                     79,                0.61435,                0.31639,                 0.9477,                0.80695,                0.84434,                0.85139,                0.51041,                 1.4714,                0.94209,                 1.5767,               0.002278,               0.002278,               0.002278
                     80,                 0.6004,                0.31452,                0.93664,                0.79088,                0.86321,                0.86648,                0.52101,                 1.4513,                 0.9299,                    1.6,               0.002179,               0.002179,               0.002179
                     81,                0.59602,                0.31271,                0.94531,                0.82195,                0.82547,                0.85047,                0.50868,                 1.4783,                0.93745,                 1.6408,                0.00208,                0.00208,                0.00208
                     82,                0.58652,                0.30405,                0.93745,                0.80064,                0.87139,                0.85902,                0.52832,                 1.4193,                0.94699,                 1.5746,               0.001981,               0.001981,               0.001981
                     83,                0.58322,                0.30143,                0.94066,                0.81081,                0.86927,                0.86331,                0.52713,                  1.432,                0.92831,                 1.6297,               0.001882,               0.001882,               0.001882
